Age,Gender,Income,Education_Level,Travel_Frequency,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Pets,Environmental_Concerns,Preference
56,male,71477,bachelor,9,2477,urban,175,267,0,1,1
69,male,88740,master,1,4777,suburban,228,190,0,1,0
46,female,46562,master,0,1469,urban,71,280,0,0,1
32,non-binary,99044,high school,6,1482,rural,31,255,1,0,1
60,female,106583,high school,5,516,suburban,23,151,1,1,0
25,male,110588,doctorate,3,2895,urban,6,47,0,1,0
38,male,22245,bachelor,1,4994,rural,157,225,0,1,0
56,non-binary,109411,bachelor,8,3656,urban,210,166,1,0,0
36,male,22531,master,6,2408,suburban,218,263,1,1,0
40,non-binary,90840,high school,1,4044,rural,271,15,1,1,0
28,female,42036,master,4,3495,suburban,159,51,0,1,0
28,non-binary,97902,high school,3,1747,urban,33,21,1,0,0
41,female,52794,bachelor,7,1591,suburban,130,254,1,1,1
53,female,93042,bachelor,9,2221,rural,211,148,0,1,0
57,male,65802,high school,3,2607,suburban,36,258,0,0,1
41,female,99810,master,2,2830,urban,77,209,1,1,1
20,male,112635,bachelor,7,675,rural,280,211,0,0,0
39,non-binary,52469,doctorate,4,4979,rural,253,50,0,1,0
19,non-binary,69522,bachelor,5,4028,rural,162,293,0,0,0
41,female,46992,doctorate,1,803,urban,207,162,0,0,0
61,non-binary,107749,high school,5,4140,urban,296,169,0,1,0
47,female,97814,master,7,3818,suburban,298,41,1,1,0
55,non-binary,52222,high school,1,635,suburban,263,241,1,1,0
19,female,82148,bachelor,1,862,rural,164,1,0,1,0
38,female,112172,master,4,3424,urban,234,54,1,0,0
50,non-binary,43152,master,3,3923,urban,243,161,1,1,0
29,non-binary,98433,high school,3,1823,rural,48,185,1,0,0
39,non-binary,46417,high school,4,2850,suburban,220,230,0,1,1
61,non-binary,29865,bachelor,6,3940,rural,256,291,0,1,0
42,female,83719,doctorate,1,948,rural,201,24,1,0,0
66,female,46795,high school,2,4703,suburban,165,294,1,0,1
44,non-binary,92148,master,3,2510,suburban,30,125,1,0,0
59,non-binary,34116,doctorate,5,1714,rural,209,90,1,0,0
45,male,58179,high school,3,4382,suburban,46,124,0,0,1
33,female,73175,high school,9,2385,rural,118,296,1,0,1
32,female,21627,high school,4,3849,urban,107,91,1,0,0
64,non-binary,97004,doctorate,7,2581,rural,288,27,0,1,0
68,male,65603,high school,0,3216,rural,51,149,0,1,1
61,non-binary,93856,bachelor,2,2754,suburban,93,105,1,1,1
69,female,109258,high school,7,3623,suburban,260,181,0,0,0
20,female,31144,master,4,3453,suburban,212,15,0,0,0
54,male,114704,high school,8,2611,suburban,246,221,1,1,0
68,non-binary,32243,master,6,2713,suburban,274,134,1,0,0
24,male,30602,doctorate,8,1998,suburban,207,168,0,1,0
38,non-binary,43401,high school,9,3701,suburban,77,8,0,0,0
26,male,68080,high school,0,4571,urban,250,173,1,1,0
56,non-binary,97682,doctorate,6,553,rural,231,250,1,1,0
35,non-binary,98367,bachelor,7,1641,suburban,123,184,0,1,1
21,non-binary,98203,doctorate,0,3244,urban,49,167,0,1,1
42,female,119298,doctorate,0,3895,suburban,266,270,0,0,0
31,non-binary,21605,master,9,2564,urban,164,133,0,0,0
67,female,37721,high school,7,558,suburban,160,263,1,1,0
26,male,41939,high school,5,4235,suburban,84,17,1,1,0
43,non-binary,28389,master,6,2718,urban,25,18,0,0,0
19,female,86904,master,3,1670,rural,197,248,1,1,0
37,male,87867,high school,9,2921,urban,241,47,0,1,0
45,non-binary,48902,bachelor,4,2556,rural,264,138,1,1,0
64,male,99552,bachelor,4,3229,rural,243,227,0,0,0
24,female,63471,master,8,3540,suburban,13,177,0,1,0
61,female,111027,high school,2,3359,suburban,31,285,0,1,1
25,non-binary,83063,bachelor,0,2382,suburban,51,24,0,0,0
64,female,27118,bachelor,1,3319,suburban,64,202,1,1,1
52,female,108178,high school,9,2349,suburban,166,121,1,0,0
31,male,23721,doctorate,1,3276,suburban,93,292,0,1,1
34,non-binary,87005,doctorate,9,4675,suburban,261,262,0,1,0
53,non-binary,26436,bachelor,5,1065,urban,13,221,1,1,0
67,non-binary,118018,doctorate,7,4280,rural,250,170,1,1,0
57,male,30043,doctorate,9,1209,suburban,279,73,0,1,0
21,female,33914,bachelor,6,4581,urban,278,219,1,1,0
19,non-binary,95101,high school,0,1672,rural,98,167,1,0,0
23,non-binary,53090,high school,7,1963,rural,20,105,0,0,1
59,male,105171,bachelor,6,1737,rural,105,164,1,0,1
21,male,73615,bachelor,1,2766,urban,195,171,1,1,0
46,non-binary,46301,master,9,2288,suburban,277,207,1,1,0
35,non-binary,116651,doctorate,5,826,urban,26,66,0,0,1
43,male,45329,bachelor,6,3518,urban,258,76,1,1,0
61,male,110652,doctorate,5,2480,suburban,79,180,1,1,1
51,male,26429,bachelor,0,2704,rural,283,216,1,0,0
27,male,107701,doctorate,8,1759,suburban,38,132,0,0,1
53,female,50032,high school,2,1939,suburban,77,69,1,1,0
31,female,73556,high school,4,3985,suburban,242,90,0,0,0
48,non-binary,46842,bachelor,7,3205,rural,117,105,0,1,0
65,female,22837,doctorate,1,4769,urban,136,99,0,1,0
